Sat Jul 15 2023 21:9:29 } [PH] info: SIGTERM is received
Sat Jul 15 2023 21:43:27 } [PH] info: DB Connected Successfully
Sat Jul 15 2023 21:43:27 } [PH] info: listening to 5000
Sat Jul 15 2023 21:45:23 } [PH] info: DB Connected Successfully
Sat Jul 15 2023 21:45:23 } [PH] info: listening to 5000
Sat Jul 15 2023 21:46:18 } [PH] info: DB Connected Successfully
Sat Jul 15 2023 21:46:18 } [PH] info: listening to 5000
Sat Jul 15 2023 21:47:37 } [PH] info: DB Connected Successfully
Sat Jul 15 2023 21:47:37 } [PH] info: listening to 5000
Sat Jul 15 2023 21:56:23 } [PH] info: DB Connected Successfully
Sat Jul 15 2023 21:56:23 } [PH] info: listening to 5000
Sat Jul 15 2023 21:57:11 } [PH] info: DB Connected Successfully
Sat Jul 15 2023 21:57:11 } [PH] info: listening to 5000
Sat Jul 15 2023 21:58:20 } [PH] info: DB Connected Successfully
Sat Jul 15 2023 21:58:20 } [PH] info: listening to 5000
